timestamp,round,threat_enemy_id,threat_enemy_type,threat_enemy_distance,threat_enemy_angle,threat_enemy_x,threat_enemy_y,threat_enemy_z,north_threat,northeast_threat,east_threat,southeast_threat,south_threat,southwest_threat,west_threat,northwest_threat
2025-12-23 22:52:26.449,1,4,Soldier,20.47,-165.18,-3.32,17.0,-12.56,0.008,0.0,0.0,0.007,0.03,0.0,0.0,0.0
2025-12-23 22:52:50.446,2,1,Soldier,27.88,77.64,22.42,17.0,4.91,0.0,0.0,0.02,0.002,0.002,0.0,0.0,0.002
2025-12-23 22:53:07.974,3,3,Soldier,26.58,107.43,20.38,17.0,-6.4,0.001,0.017,0.002,0.0,0.001,0.0,0.0,0.0
2025-12-23 22:53:40.480,4,1,Soldier,21.89,113.39,13.88,17.0,-6.0,0.004,0.0,0.0,0.002,0.0,0.005,0.002,0.0
2025-12-23 22:54:15.210,5,1,Soldier,26.25,-67.66,-19.38,17.0,7.96,0.0,0.006,0.0,0.011,0.0,0.005,0.002,0.0
2025-12-23 22:54:27.959,6,19,Soldier,30.17,-133.03,-18.78,17.0,-17.53,0.012,0.039,0.019,0.008,0.041,0.048,0.131,0.013
2025-12-23 22:54:40.688,7,1,Soldier,27.41,103.74,21.74,17.0,-5.32,0.04,0.032,0.021,0.027,0.027,0.048,0.008,0.006
2025-12-23 22:54:50.881,8,26,Soldier,26.94,-29.57,-10.76,17.0,18.97,0.0,0.0,0.0,0.0,0.008,0.076,0.082,0.054
2025-12-23 22:55:00.826,9,6,Soldier,26.86,-143.13,-13.02,17.0,-17.36,0.003,0.033,0.05,0.008,0.02,0.042,0.022,0.025
2025-12-23 22:55:09.388,10,7,Soldier,26.45,45.92,15.23,17.0,14.75,0.013,0.066,0.109,0.036,0.0,0.0,0.0,0.0
2025-12-23 22:55:22.038,11,1,Soldier,28.52,-37.28,-14.37,17.0,18.88,0.0,0.0,0.0,0.0,0.0,0.022,0.003,0.015
