timestamp,round,threat_enemy_id,threat_enemy_type,threat_enemy_distance,threat_enemy_angle,threat_enemy_x,threat_enemy_y,threat_enemy_z,north_threat,northeast_threat,east_threat,southeast_threat,south_threat,southwest_threat,west_threat,northwest_threat
2025-12-20 01:12:03.934,1-1,1,ifv,37.46,62.72,33.29,1.18,17.17,0.0,0.01,0.001,0.0,0.0,0.0,0.0,0.0
2025-12-20 01:12:35.360,1-2,2,ifv,12.71,130.95,9.6,1.18,-8.33,0.0,0.001,0.0,0.011,0.0,0.0,0.002,0.0
2025-12-20 01:14:10.267,1-3,2,ifv,18.61,340.05,-6.35,1.18,17.49,0.002,0.0,0.0,0.002,0.0,0.003,0.0,0.0
