timestamp,round,threat_enemy_id,threat_enemy_type,threat_enemy_distance,threat_enemy_angle,threat_enemy_x,threat_enemy_y,threat_enemy_z,north_threat,northeast_threat,east_threat,southeast_threat,south_threat,southwest_threat,west_threat,northwest_threat
2025-12-23 21:35:45.802,1,1,Soldier,26.25,-67.66,-19.38,17.0,7.96,0.0,0.006,0.0,0.011,0.0,0.005,0.002,0.0
2025-12-23 21:35:55.774,2,3,Soldier,26.58,107.43,20.38,17.0,-6.4,0.001,0.017,0.002,0.0,0.001,0.0,0.0,0.0
2025-12-23 21:36:05.778,3,4,Soldier,20.47,-165.18,-3.32,17.0,-12.56,0.008,0.0,0.0,0.007,0.03,0.0,0.0,0.0
2025-12-23 21:36:15.793,4,1,Soldier,21.89,113.39,13.88,17.0,-6.0,0.004,0.0,0.0,0.002,0.0,0.005,0.002,0.0
2025-12-23 21:36:25.795,5,1,Soldier,27.88,77.64,22.42,17.0,4.91,0.0,0.0,0.02,0.002,0.002,0.0,0.0,0.002
2025-12-23 21:36:35.797,6,3,Soldier,26.58,107.43,20.38,17.0,-6.4,0.001,0.017,0.002,0.0,0.001,0.0,0.0,0.0
2025-12-23 21:36:45.814,7,1,Soldier,21.89,113.39,13.88,17.0,-6.0,0.004,0.0,0.0,0.002,0.0,0.005,0.002,0.0
2025-12-23 21:36:55.818,8,4,Soldier,20.47,-165.18,-3.32,17.0,-12.56,0.008,0.0,0.0,0.007,0.03,0.0,0.0,0.0
2025-12-23 21:37:02.809,9,1,Soldier,26.25,-67.66,-19.38,17.0,7.96,0.0,0.006,0.0,0.011,0.0,0.005,0.002,0.0
2025-12-23 21:37:07.561,10,1,Soldier,27.88,77.64,22.42,17.0,4.91,0.0,0.0,0.02,0.002,0.002,0.0,0.0,0.002
2025-12-23 21:37:19.767,11,1,Soldier,27.41,103.74,21.74,17.0,-5.32,0.04,0.032,0.021,0.027,0.027,0.048,0.008,0.006
2025-12-23 21:37:22.810,11,1,Soldier,27.41,103.74,21.74,17.0,-5.32,0.04,0.032,0.021,0.027,0.027,0.048,0.008,0.006
2025-12-23 21:37:28.388,12,6,Soldier,26.86,-143.13,-13.02,17.0,-17.36,0.003,0.033,0.05,0.008,0.02,0.042,0.022,0.025
2025-12-23 21:37:31.418,12,6,Soldier,26.86,-143.13,-13.02,17.0,-17.36,0.003,0.033,0.05,0.008,0.02,0.042,0.022,0.025
2025-12-23 21:37:34.832,13,7,Soldier,26.45,45.92,15.23,17.0,14.75,0.013,0.066,0.109,0.036,0.0,0.0,0.0,0.0
2025-12-23 21:37:37.864,13,7,Soldier,26.45,45.92,15.23,17.0,14.75,0.013,0.066,0.109,0.036,0.0,0.0,0.0,0.0
2025-12-23 21:42:33.059,1,1,Soldier,27.88,77.64,22.42,17.0,4.91,0.0,0.0,0.02,0.002,0.002,0.0,0.0,0.002
2025-12-23 21:42:43.037,2,4,Soldier,20.47,-165.18,-3.32,17.0,-12.56,0.008,0.0,0.0,0.007,0.03,0.0,0.0,0.0
2025-12-23 21:42:53.047,3,3,Soldier,26.58,107.43,20.38,17.0,-6.4,0.001,0.017,0.002,0.0,0.001,0.0,0.0,0.0
2025-12-23 21:43:03.053,4,1,Soldier,21.89,113.39,13.88,17.0,-6.0,0.004,0.0,0.0,0.002,0.0,0.005,0.002,0.0
2025-12-23 21:43:13.064,5,1,Soldier,26.25,-67.66,-19.38,17.0,7.96,0.0,0.006,0.0,0.011,0.0,0.005,0.002,0.0
2025-12-23 21:43:23.065,6,3,Soldier,26.58,107.43,20.38,17.0,-6.4,0.001,0.017,0.002,0.0,0.001,0.0,0.0,0.0
2025-12-23 21:43:33.071,7,1,Soldier,26.25,-67.66,-19.38,17.0,7.96,0.0,0.006,0.0,0.011,0.0,0.005,0.002,0.0
2025-12-23 21:43:43.082,8,4,Soldier,20.47,-165.18,-3.32,17.0,-12.56,0.008,0.0,0.0,0.007,0.03,0.0,0.0,0.0
2025-12-23 21:43:53.087,9,1,Soldier,27.88,77.64,22.42,17.0,4.91,0.0,0.0,0.02,0.002,0.002,0.0,0.0,0.002
2025-12-23 21:44:03.102,10,1,Soldier,21.89,113.39,13.88,17.0,-6.0,0.004,0.0,0.0,0.002,0.0,0.005,0.002,0.0
2025-12-23 21:44:15.809,11,6,Soldier,26.86,-143.13,-13.02,17.0,-17.36,0.003,0.033,0.05,0.008,0.02,0.042,0.022,0.025
2025-12-23 21:44:18.845,11,6,Soldier,26.86,-143.13,-13.02,17.0,-17.36,0.003,0.033,0.05,0.008,0.02,0.042,0.022,0.025
2025-12-23 21:45:04.129,12,26,Soldier,26.94,-29.57,-10.76,17.0,18.97,0.0,0.0,0.0,0.0,0.008,0.076,0.082,0.054
2025-12-23 21:45:07.171,12,26,Soldier,26.94,-29.57,-10.76,17.0,18.97,0.0,0.0,0.0,0.0,0.008,0.076,0.082,0.054
