timestamp,round,threat_enemy_id,threat_enemy_type,threat_enemy_distance,threat_enemy_angle,threat_enemy_x,threat_enemy_y,threat_enemy_z,north_threat,northeast_threat,east_threat,southeast_threat,south_threat,southwest_threat,west_threat,northwest_threat
2025-12-23 21:32:19.050,1,3,Soldier,26.58,107.43,20.38,17.0,-6.4,0.001,0.017,0.002,0.0,0.001,0.0,0.0,0.0
2025-12-23 21:32:29.020,2,1,Soldier,27.88,77.64,22.42,17.0,4.91,0.0,0.0,0.02,0.002,0.002,0.0,0.0,0.002
2025-12-23 21:32:39.027,3,1,Soldier,21.89,113.39,13.88,17.0,-6.0,0.004,0.0,0.0,0.002,0.0,0.005,0.002,0.0
